full_text,label
@e100ss makanya bahlil kalo nyuruh pertamina ubah spesifikasi bbm jgn langsung dituruti. suruh koordinasi dulu sama menteri perindustrian biar spesifikasi industri otomotif nya juga disesuaikan dulu. karena etanol ada sifat korosifnya kalo spek motornya gak disesuaikan ya rusak ....,Negatif
Lah situ nyampur etanol ke bbm skrg pake uji 8bulan dulu kagak? Di uji kekendaraannya g ? Di cek g kendaraan yg beredar support penggunakan etanol apa kaga,Negatif
@Telkomsel Woy komitmen kalian itu cuman lip service negara ini ga ada orang yang bisa dipercaya.. BBM aja dioplos sama etanol..,Negatif
Ada katanya bbm ron 98 karya anak bangsa dari bahan ramah lingkungan banyak rakyat yang dukung ya jelas ini etanol murni tapi kok didukung tapi kemaren sampe protes keras ke pemerintah karena campuran etanol yang padahal belom terealisasi gajelas banget orang indo tolol,Negatif
@Mdy_Asmara1701 Berita banyak motor mbrebet gara2 BBM pake etanol...,Negatif
@adillaaaap @infomalang BBM nya ada campurannya etanol &amp; sejenisnya atau kalau nggak emang BBM nya yg gak cocok sama motornya mbak. Makanya jd gitu,Negatif
@GNFI Gada kerjaan rakyat lu noh banyak yg keracunan bbm etanol yg demo kemaren ditangkep2in,Negatif
Bahlil Bahlul bangsatttt......!!!! adikku tersayang Kadek jd kalah gegara kehabisan BBM. Udah di bilangin ditambah etanol tuh jadi lebih boros cepat habis bensinnya. Gimana rakyat mau sejahtera kl uangnya habis buat biaya transportasi. #PecatBahlilBahlul !!! https://t.co/8G7QNrn8JJ,Negatif
@kegblgnunfaedh coba yang punya buku panduan h*nda yg sudah injeksi dibaca lagi bbm campuran etanol tinggi berefek menyebabkan cat tangki rusak dan menyebabkan karat pada tanki menyebabkan pengendaraan tidak baik di gamabr ini buku panduan resmi h*nda https://t.co/DDDrkDDL5s,Negatif
@xremiums ngakuin kualitas bbm jlk aja susah amat...bkn mslh etanol...kualitas bbmnya....,Negatif
@prabowo dipaksa beli bbm dlm negeri yg kualitasnya buruk merusak karet seal. sekarang tiap minggu harus service kendaraan karena bbm etanol. dikira semua orang mampu service kendaraan tiap bulan? dengan pendapatan masyarakat 1-3jt perbulan yg gk seberapa mentri yg memalukan.,Negatif
@xremiums Ngeles @pertamina busi disalahin..tolol..? Belum pernah uji kelayakan BBM+Etanol ya kan..?,Negatif
Ada aja mau cari-cari sela korupsi BBM dicampur Etanol ..cerdik dan licik(koruptor). Yg normal aja BBM ok... Rakyat seluruh Indonesia sudah tahu... @prabowo @KemensetnegRI @kemendagri,Negatif
Motor saya ga pake busi malah ga idup pak padahal dah pake bbm oplos etanol,Negatif
Sumber bahan 'nabati'nya dari apa aja ga jelas Biasanya bahan 'nabati' BBM itu dari sawit kelapa jarak atau sumber oleokimia lain Ini denger-denger dari limbah pertanian dan pertanian apa ga diketahui. Curiga ini bioefuelnya berupa etanol. Bahenol nabati.,Negatif
@ferdinand_mpu pertanyaanya simple @pertamina punya alatnya nggak?? kalo punya kok masih bermasalah?? kalo tidak keuntungan dari penjualan BBM buat apa?? masih mendukung BBM pake etanol kah sempak merah?? https://t.co/VjgnGhRVGS,Negatif
Gigitan itu pahit kan? Rasa korupsi yang menetes pelan-2 ke hidung campur etanol air mata BBM naik &amp; beras impor busuk. Salam gigit jari balik buat kalian para PEMIMPIN PALSU: Nikmati aja RAMPASAN perangmu sekarang #kabinetmerahputih #PrabowoGibran #rakyatMUAK #beranilawan,Negatif
Pak @prabowo menteri Bp ini tidak mengerti visi Bapak menggerakan masyarakat menanam singkong untuk memproduksi etanol untuk mengurangi ketergantungan kpd BBM fosil. Pemerintah sudah menetapkan harga beli singkong Rp. 1.350. Rakyat mengeluh krn harga cuma 500 Rp/kg,Negatif
@prabowo dipaksa beli bbm dlm negeri yg kualitasnya buruk merusak karet seal. sekarang tiap minggu harus service kendaraan karena bbm etanol. dikira semua orang mampu service kendaraan tiap bulan? dengan pendapatan masyarakat 1-3jt perbulan yg gk seberapa mentri yg memalukan.,Negatif
udh nebak indon bakal begitu. even udh nitpick he's a muslim aja masih ada yg bilang ((tapi dia syiah syiah bukan islam)) like bfr. yall otaknya udh kena kontaminasi BBM oplos etanol jadi berkerak gt,Negatif
Ini sih tapi yang jadi menteri energi Somalia sekarang yang bikin ngeri sama ngeselin campur etanol di BBM sampe bikin banyak motor orang pada brebet nyusahin iya ngeselin juga iya https://t.co/58u3PdYV7o,Negatif
Kebijakan ngawur asal asalan tanpa memikirkan akibatnya rakyat di buat susah gara BBM di campur Etanol(pertalite). Motorku mogok deng gendeng,Negatif
@CongKene_doewa @kawiyanto @AraituLaki Ya BBM campur etanol bisa menyebabkan karat pada tangki bensin motor terutama karena etanol menyerap air yang memicu korosi pada tangki logam. Risiko lebih tinggi pada motor lawas atau campuran etanol tinggi. Gunakan BBM segar dan periksa tangki secara rutin untuk mencegahnya.,Negatif
@kawiyanto @AraituLaki Apakah bbm dicampur etanol bisa bikin karat tanki bbm motor @grok ?,Negatif
@DS_yantie Bahlil kan sekarang jadi Bahlul. Dya lagi menikmati bisnis pertalite campur etanol 10%. Dari ingredient lebih murah harusnya dengan harga jual yang sama laba bisa dipastikan lebih banyak. Karena secara efisiensi BBM di kendaraan performa mesin menjadi sangat boros.,Negatif
semoga jodoh gue mas2 teknik yg kayak erlang bukan yg ngide ngoplos bbm pake etanol. amin https://t.co/8Rdrq6xb6E,Negatif
bego ya org org yg marah karna bbm campur etanol kan emg anjinkss,Negatif
@TirtoID knp spbu swasta rame? tanya pertamina lah knp hancurin customer trust lu peak. bbm oplosan mengandung aer mengandung etanol and wtf.,Negatif
be bahlil &gt;saingan pertamina pada di singkirin semua &gt;bikin kebijakan untuk campurkan bbm dengan etanol yang notabene ga sehat buat motor karbu lama ni orang bikin kebijakan ga pernah benar dah mulai dari gas lpg tambang sama sekarang bbm. aneh bat mentri lu wok,Negatif
Percayalah aku paling benci kasus ini kek literally semua orang bergantung banget ama BBM. Terus motor sekarang belum disesuaikan ama BBM 10% etanol itu kupikir kemarin itu bakal diperbaiki taunya malah dilanjutkan. Motor suamiku juga kena gegara isi BBM Pertamina,Negatif
@RakyatBerbisik Hentikan BBM campur etanol! Rakyat dikasi hal ga enak terus!,Negatif
@PaltiWest Ajak si bahlil itu Turing naik motor trus isi BBM bareng yang dicampur etanol tsb... Dan selanjutnya biar dia rasakan sendiri motornya mogok sama-sama dijalan biar dia tau akibat etanol pada mesin motor.,Negatif
Pertamina buka bengkel gratis untuk motor brebet. Lucu juga ya berarti mereka udah tahu ada yang salah sama BBM-nya. Ini bukan soal mesin motor tapi soal kebijakan campur etanol yang dipaksakan Bahlil. BBM makin hijau tapi motor malah batuk-batuk. https://t.co/4VsMBkZqtD,Negatif
@NarasiNewsroom Padahal dibuku petunjuk kendaraan banyak yg larang BBM mengandung etanol bilang saja nyari proyek dari tebu jagung singkong td pasti udah pada siap tuh pemasok gedenya nanam dari skarang,Negatif
@senofabregas @peredam03 Lu ini g lihat berita ya ape gimana bang ditempat gw dah banyak orang kena habis isi bbm motornya langsung bunyi. Pas dicek kandungan bbm nya ada etanol. Punya hp searching napa,Negatif
@NarasiNewsroom bikin kebijakan soal etanol gak masalah selama terintegrasi dengan industri otomotif biar mesin motor di indonesia sudah disiapkan untuk spek bbm e20. kemen esdm koordinasi dg kemenperin. yg ada skrng mesin motor pada rusak karena sifat etanol korosif.,Negatif
@4notherme @Vitek666winsor @fructusputridus @peredam03 Cocok gak kebijakan E10 ini buat motor2 di indonesia? Ini menurut ahli ITB ethanol bersifat higroskopis sehingga meningkatkan kadar air di bensin nya Makanya banyak yg ngeluh waktu ditab bensinnya ada airnya dan motornya rusak https://t.co/JjONh947VU,Negatif
@alwaysyou59 @B3doel___ Ya mungkin tapi tidak mungkin jadi penyebab utama. Etanol di BBM bisa kurangi tenaga mesin sedikit (sekitar 3-5% di E10) karena energi lebih rendah tapi jarang bikin hilang tenaga total di tanjakan. Lebih mungkin karena masalah mekanik rem atau jalan licin. Di Indonesia,Negatif
@PresidenKopi Pngn tahu etanol di campur pertalite itu jdi sprti apa?.. lha koq mlh di campur air?.. ini kan orang da paham klo bbm di campur air psti brebet,Negatif
pecat aja bu dari kader @PDI_Perjuangan si @ferdinand_mpu orang ini benalu. apalagi kader bunglon yg senengnya lompat dari partai asal karena gk dapet apa-apa terus lumpat ke yg lain. ini orang pendukung bahlul yg suka nyampur BBM dengan etanol.,Negatif
Klo pnybab boros sdh pasti etanol biangnya. Tp brebet ini kmungkinan besar ad aditif yg dipakai u/ ningkatin performa BBM dan Naikin oktan. Tp mkn tdk riset dl bahwa aditif yg dipakai sifatnya korosif thd tangki/endapan kerak tangki jdnya kotoran terlepas dna nyumbat salutan bbm,Negatif
@4lessandre Ad kemungkinan bukan campuran air atau etanol mas tp larutan aditif pd bbm tsbt yg bersifat korisif terhadap tangki bensin atau endapan kerak pd tangki sehingga nyumbat saluran injeksi.,Negatif
@PresidenKopi Kalau @pertamina menjual bbm tanpa etanol meskipun harganya di naikkan. Saya yakin etanol ini pasti gak laku. Apakah ini cara pertamina utk monopoli pasar menyingkirkan pesaing trus naikin harga.???,Negatif
@KangManto123 Kalau hanya sekedar minta maaf kita juga bisa tapi kalau masih dicampur sedangkan masih banyak kendaraan yang nggak support gimana? Sekali lagi Jika hanya kata maaf saja yang diucapkan sedangkan BBM masih dicampur 10% etanol percuma!,Negatif
Idenya bahlil!! BBM dicampur etanol.,Negatif
@Luspatercept @grok Nah kita pun sbg konsumen harus tau brp persen kandungan etanol yg dipakai di BBM pertamina kalo lebih dari 10% kan berarti pertamina sdh berbuat curang. Dan kalo kebijakan soal etanol ini dipake oleh swasta apakah mereka akan mengurangi kadar etanolnya atau tidak?,Negatif
@PresidenKopi Sebagian besar kendaraan yang beredar di indo tdk di rancang kusus untuk bbm ber etanol. Ini akan jadi masalah serius dan masiv di masyarakat menengah kebawah,Negatif
DARIMANA IDE BBM CAMPUR ETANOL? Jika ingin bersaing dengan SPBU SWASTA bersainglah secara sehat. Harusnya Pertamina meningkatkan kualitas BBMnya bukan malah menurunkan kualitas BBM. Rakyat dipaksa memakai BBM Pertamina yang jelek. https://t.co/uCUavFXybd,Negatif
@PaltiWest Pantesan motor aing brebet anjing gara gara bahlil bbm campur etanol. Uasuuu,Negatif
@Ary_PrasKe2 @Anak__Ogi @BiLLRaY2019 @Budionotaslim3 @CakKhum @Cintada16 @elsaday__ @FirzaHusain @HumorJonTampan @jhonsitorus_19 @NgkongRoses Tuntut SPBU tsb Pertamina Pemerintah yg bidangi ESDM &amp; BUMN serta Presiden RI.! Tuntut agar Kebijakan BBM dg campuran Etanol 10% tsb di Batalkan.!! Tuntut jg agar Bahlil di Pecat.! @jawapos @rmol_id @detikcom @TirtoID @Prabowo08_,Negatif
@Suchie_22 Ngapain dicampur air yg perlu dibuktikan itu apakah etanol yg dicampur bbm itu akan menjadi air yg jd biang kerok kan air tsb yg bikin motor brebet akibat bbm dicampur etanol,Negatif
Abis ngisi bensin full tank trs brebet gini amat tinggal di indo etanol bagus kalau kualitas BBM dari pertamina bagus pak lil bahlil kualitas pokokknya aja kek tai benerin dulu aja baru di inovasi,Negatif
mau menambahkan ya kalau etanol itu sifatnya hidroskop jadi air yg tercamput bbm itu kemungkinan besar terjadi memang dari hulu krn porcessing buruk handling hingga storaging yg akumulatif. intinya bodoh mau oplos bbm pake etanol klo ga paham kerja kimiawi,Negatif
@adiaqa @PaltiWest itu gara-gara etanol energi per liternya lebih kecil daripada BBM murni jadi dengan jumlah liter yang sama BBM campuran jarak tempuhnya jelas lebih pendek. tapi mbok harga BBM nya dikurangin kalo harganya sama tapi jarak tempuhnya lebih pendek ya boncos,Negatif
@Ary_PrasKe2 @Anak__Ogi @BiLLRaY2019 @Budionotaslim3 @CakKhum @Cintada16 @elsaday__ @FirzaHusain @HumorJonTampan @jhonsitorus_19 @NgkongRoses BBM di Indonesia dari pusat dioplos dgn etanol oleh makelar impor Pertamina sampai daerah dioplos dgn minyak sumur ilegal oleh pengusaha SPBU. Persamaannya sama2 kegiatannya dibeking oleh aparat utk setoran ke pimpinannya. Bangsat..,Negatif
@Ary_PrasKe2 @Anak__Ogi @BiLLRaY2019 @Budionotaslim3 @CakKhum @Cintada16 @elsaday__ @FirzaHusain @HumorJonTampan @jhonsitorus_19 @NgkongRoses Makanya pertamina klo gak bisa buat BBM berkualitas tutup aja. Kasih BBM asing. Udah harganya mahal kualitas buruk ditambahkan etanol segala.. Hancur lebur.. Udah gitu BBM impor dari Singapura pula.. Bangsat.. SAMPAH..,Negatif
@PaltiWest Gini bahan etanol mau dijadikan campuran BBM bikin rusak kendaraan. PERTIPUAN BAHLUL ASUUU. BENSIN PERTALULIT CELAKA BUANG AJA KECOMBERAN,Negatif
Bukan jir ini mah krn penambahan etanol yg ga kira2 itu bkin bbmnya bereaksi sama besi. Pdhl bbm cuma setangki aja bisa ngasilin air segitu banyaknya bayangin gimana cape mesinnya yg g build buat ngeluarin residu gituan. Busi kebakar saluran bbmnya kesumbat besi,Negatif
@Ngadinopanser @bangherwin Kebijakan negara sering bikin susah rakyat karena lahir dari ego politik atau visi ambisius tanpa analisis risikonya yang matang. Di kasus etanol campur BBM niat hemat impor dan ramah lingkungan mulia tapi tanpa infrastruktur Pertamina siap malah picu harga naik kerusakan,Negatif
Ngotot nyampurin etanol ke BBM tanpa beresin dulu infrastruktur Pertamina itu kayak maksa orang minum obat cacing padahal lagi demam: salah sasaran salah timing dan jelas bukan solusi. Bukti bahwa kebijakan di Indonesia saat ini selalu lahir dari ego bukan dari nalar. https://t.co/tn7DtM5Xt6,Negatif
@ARSIPAJA Tidak ada pilihan buat rakyat kalo Kouta impor kemudian harga bbm naik. Kalo etanol resiko nya kendaraan bermotor brebet,Negatif
@AldhitamaR Aseekk ana kancane gasss jangan dikasih BBM etanol yak sajuma motor alim,Negatif
@KangManto123 Jangan buta dan tuli @pertamina. Benerin kwalitas udh kemarin Pertamax rasa pertalite. Sekarang perlite ada etanol. Udh satu-satu jdi perusahaan penyedia BBM malah amatir. Maluuuuu aku tuh BUMN Indonesia model ky gini,Negatif
Bahayanya BBM dicampur dengan etanol terbukti dalam video ini. Apa masyarakat masih percaya dengan pernyataan menteri ESDM bahlil lahadalia kalau etanol dicampur dengan BBM aman di gunakan bagi kendaraan .??? kapan PERTAMINA ANDA MAU BERUBAH !!!! https://t.co/qtdo1I60ya,Negatif
@Afakhrudin728 @PaltiWest Lu nggk baca berita ya.. Itu putusan dr pertamina sendiri untuk mencampur etanol k BBM hingga kadar melebihi yg seharus.nya.. Efek.nya k mesin motor...,Negatif
Motor Brebet dan Mogok Massal di Jatim Kandungan Etanol pada BBM Melebihi 10 Persen? https://t.co/fa8utaON3p,Negatif
Udah ada bukti kasus mesin rusak gara-gara campuran etanol tapi Bahlil masih aja ngegas maksa rakyat pakai BBM ber-etanol. Ilmu bantahnya kenceng tanggung jawabnya enteng: MAAF JIAAAH...! Sementara itu komisaris Pertamina malah masih aja sibuk ngurusin si mantan . https://t.co/5jweuVyete,Negatif
Ketidak jujuran seorang Bahlil Lahadalia tentang campuran etanol pada BBM. Seharusnya saat memutuskan memaknai etanol sebagai campuran BBM harusnya SEBUTKAN juga efeknya. Bahwa tidak semua mesin jenis kendaraan dapat menerima BBM oplosan.,Negatif
Motor Brebet dan Mogok Massal di Jatim Kembali Viral SPBU Swasta Batal Beli BBM di Pertamina karena Dicampur Etanol https://t.co/UnGTFoecCD,Negatif
Solusinya nggak gini dong Blin Goblin. STOP CAMPURIN ETANOL KE BBM DONG BLOG.,Negatif
Ni pemerintah maksa banget dah bikin etanol padahal mesin kendaraannya aja ga mendukung buat bbm yang dicampurin etanol. Mikir ga si pemerintah,Negatif
@ARSIPAJA Negara kaya minyak bumi bukan ngembangin teknologi biar ngga impor bbm malah bikin etanol buat ngoplos. Pak maaf yg ngga waras @prabowo atau bahlil ini,Negatif
Tolak BBM Etanol Pertamina. #TolakBBMEtanolPertamina #PecatBahlil,Negatif
Dari video ini bisa dimulai utk investigasi terhadap kasus kendaraan brebet dan mogok masal. Terutama di Jatim. Pada bulan September 2025 lalu SPBU swasta batal beli BBM dari Pertamina. Salah satu alasannya karena tidak ada transparansi mengenai kandungan etanol. Kemudian https://t.co/ZsclHJOaIR,Negatif
@ARSIPAJA Rakyat beli kendaraan yg dibolehkan/legal olh negara. Negara dpt pajak dr pembelian kend. Tp tipe kend tdk bs nrima etanol. Trs pemerintah ga mau tau yg ptg jual bbm ber etanol. Emg bajingan kalian,Negatif
PREDIKSI IDE BAHLUL SENJATA MAKAN TUAN ? 1.Siapkan BBM oplos Etanol utk merusak citra SPBU Swasta 2.Siapkan aturan SPBU swasta wajib beli dr Pertamina. 3.SPBU Swasta menolak pilih tutup 4.BBM oplosan Etanol itu dijual sendiri dgn dilegalisir 5.Banyak kendaraan macet krn BBM,Negatif
@haikarrll85 @ARSIPAJA Menterinya suruh belajar dulu masalah tehnik mesin terutama mesin sepeda dan mobil.... Ok lah mungkin ada mesin sepeda&amp;mobil yg bisa pakai BBM campuran etanol lha u mesin sepeda&amp;mobil yg gak bisa pakai BBM campuran etanol gimana ?? Jangan disamaratakan...,Negatif
@kompascom Eh Bahlul kalo di Amerika itu produsen Motor dan mobil sudah expand ke FFV jadi bisa pake Etanol 10-20 bahkan 85 next tapi di indo produsen mobil dan motor belum bahkan Nol yg Bikin FFV jadi kalo BBM nya dulu di ganti yg ada kerusakan masal Bodohh ...,Negatif
@grok Lama lama makin goblok aja lu grok etanol ngk bagus buat mesin itu suda ada risetnya kalau uda ada pernyataan seperti itu berarti dalam jangka panjang akan merugikan konsumen. Lihat aja kualitas BBM indo kemarin kemarin pada bikin mesin kendaraan rusak apa lagi ditambah etanol,Negatif
Kajian tentang pencampuran etanol dan dampak negatif ke kendaraan sudah ada belum? Kalian jangan seenaknya mencampur BBM tanpa memikirkan kerugian pemilik kendaraan Shell dkk tidak mau membeli bahan mentah karena ada etanol dibawah 10% kalian malah campur 10%,Negatif
apalagi sekarang ruwet masalah bbm jelek dari si merah kan udah saatnya sekalian nuntut pemda buat hadirin transum daripada pusing rawatin kendaraan pribadi gara-gara kebijakan tolol etanol itu,Negatif
@RaniKancana @prabowo Bahlil ini bener² Bahlul yg bilang Etanol jelek itu tdk ada cuma tidak cocok dipakai campuran bbm di Indonesia karena pabrikkan priduksi kendaraan di Indonesia blm kompatibel etanol cari untung buat mafia migas sebesar²nya dg cara mudah dan murah,Negatif
@wahyu8106 @kompascom @DPR_RI Ya kebijakan E10 berpotensi menambah beban rakyat karena konsumsi BBM naik 3-5% akibat densitas energi etanol lebih rendah plus risiko korosi pada kendaraan lawas yang mendominasi di Indonesia tanpa program modifikasi murah. DPR RI melalui anggota seperti Ateng Sutisna dan Nevi,Negatif
